id,x_coordinates,y_coordinates
"0018300001",11.86929520,45.39982238
"0018300002",11.87022757,45.39992433
"0018300004",11.86943646,45.39932860
"0018300005",11.87155292,45.39912851
"0018300006",11.86980912,45.39907578
"0018300007",11.87060910,45.39979430
"0018300008",11.87117061,45.40010550
"0018300009",11.87166312,45.39936839
"0018300010",11.87073818,45.39884269
"0018300011",11.87101312,45.39875948
"0018300012",11.87079736,45.39927014
"0018300013",11.87119481,45.39965373
"0018300014",11.87153302,45.40015316
"0101000001",11.86920562,45.39880972
"0101000002",11.86977137,45.39883869
"0101000003",11.86935418,45.39881986
"0018300015",11.87171644,45.40009997
"0018300016",11.87182753,45.39979466
"0018300017",11.87191796,45.40000320
"0101000004",11.87120123,45.39835716
"0101000005",11.87103679,45.39850004
"0101000006",11.87108949,45.39808176
"0101000007",11.86933133,45.39791085
"0101000008",11.86946958,45.39894646
"0101000009",11.86912010,45.39900018
"0101000010",11.87030596,45.39848930
"0101000011",11.87093095,45.39771413
"0101000012",11.86949285,45.39849743
"0101000013",11.86923167,45.39859107
"0101000014",11.86948195,45.39868391
"0101000015",11.86958861,45.39808624
"0101000016",11.86927042,45.39818172
"0101000017",11.86963868,45.39833508
"0101000018",11.86917388,45.39838221
"0018300018",11.87033724,45.39891209
"0018300019",11.87129509,45.39870271
"0018300020",11.87144201,45.39888534
